DATETIME;USER;TAG;VALUE
2013-05-23@23:25:39;kasi;"CHANGE ROLE";"user kasi mengganti role/bagian ke 2/2"
2013-05-23@23:28:03;kasi;"REKAM CATATAN KASI";"user kasi rekam catatan kasi no agenda SM0024"
2013-05-23@23:28:16;kasi;LOGOUT;
2013-05-23@23:28:22;mastri;LOGIN;
2013-05-23@23:29:17;mastri;UPLOAD;"user mastri upload file surat no agenda SM0024 file:M_ND-20_KP_2013_308152.pdf"
2013-05-23@23:32:00;mastri;"REKAM SK";"user mastri rekam surat keluar tujuan 260018"
2013-05-23@23:33:19;mastri;"REKAM REVISI";"user mastri rekam revisi surat keluar id 48 nama file K_48_260018.docx"
2013-05-23@23:36:28;mastri;"UBAH SK";"user mastri ubah surat keluar tujuan: 48 perihal:Jawaban Nota Dinas"
2013-05-23@23:36:54;mastri;"UBAH SK";"user mastri ubah surat keluar tujuan: 48 perihal:Jawaban Nota Dinas"
2013-05-23@23:44:31;mastri;"UBAH SK";"user mastri ubah surat keluar tujuan: 48 perihal:Jawaban Nota Dinas"
2013-05-23@23:45:42;mastri;"UBAH SK";"user mastri ubah surat keluar tujuan: 48 perihal:Jawaban Nota Dinas"
2013-05-23@23:48:21;mastri;"UBAH SK";"user mastri ubah surat keluar tujuan: 48 perihal:Jawaban Nota Dinas"
2013-05-23@23:49:24;mastri;"UBAH SK";"user mastri ubah surat keluar tujuan: 48 perihal:Jawaban Nota Dinas"
2013-05-23@23:56:57;mastri;"UBAH SK";"user mastri ubah surat keluar tujuan: 48 perihal:Jawaban Nota Dinas"
2013-05-23@23:58:55;mastri;"UBAH SK";"user mastri ubah surat keluar tujuan: 48 perihal:Jawaban Nota Dinas"
2013-05-23@23:59:51;mastri;"REKAM SK";"user mastri rekam surat keluar tujuan 269002"
2013-05-24@00:00:22;mastri;LOGOUT;
2013-05-24@00:00:26;kasi;LOGIN;
2013-05-24@00:01:19;kasi;"UBAH SK";"user kasi ubah surat keluar tujuan: 49 perihal:Surat Tugas Diklat an Firman"
2013-05-24@00:01:33;kasi;"UBAH SK";"user kasi ubah surat keluar tujuan: 49 perihal:Surat Tugas Diklat an Firman"
2013-05-24@00:01:44;kasi;"HAPUS SK";"user kasi hapus surat keluar id 49"
2013-05-24@00:02:12;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_1.pdf"
2013-05-24@00:03:46;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_2.pdf"
2013-05-24@00:11:43;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_3.pdf"
2013-05-24@00:13:04;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_4.pdf"
2013-05-24@00:13:27;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_5.pdf"
2013-05-24@00:13:53;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_6.pdf"
2013-05-24@00:14:05;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_7.pdf"
2013-05-24@00:14:24;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_8.pdf"
2013-05-24@00:15:15;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_9.pdf"
2013-05-24@00:16:44;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_1.pdf"
2013-05-24@00:17:41;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_2.pdf"
2013-05-24@00:18:59;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_1.pdf"
2013-05-24@00:19:31;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_2.pdf"
2013-05-24@00:21:43;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018.pdf"
2013-05-24@00:23:19;kasi;"UBAH SK";"user kasi ubah surat keluar tujuan: 48 perihal:Jawaban Nota Dinas"
2013-05-24@00:24:02;kasi;"REKAM REVISI";"user kasi rekam revisi surat keluar id 48 nama file K_48_260018_1.docx"
2013-05-24@00:24:56;kasi;"UBAH SK";"user kasi ubah surat keluar tujuan: 48 perihal:Jawaban Nota Dinas"
2013-05-24@00:25:10;kasi;LOGOUT;
2013-05-24@00:25:15;kk;LOGIN;
2013-05-24@00:25:23;kk;LOGOUT;
2013-05-24@00:25:28;mastri;LOGIN;
2013-05-24@00:26:07;mastri;LOGOUT;
2013-05-24@00:26:11;kasi;LOGIN;
